ePortRxDataGroup_0, ePortRxDataGroup_1, ePortRxDataGroup_2, ePortRxDataGroup_3, ePortRxDataGroup_4, ePortRxDataGroup_5, ePortRxDataGroup_6, ePortRxDataGroup_7, ePortRxDataGroup_8, ePortRxDataGroup_9, ePortRxDataGroup_10, ePortRxDataGroup_11
0, 0, 0, 40, 83889536, 57065510, 0, 0, 69206016, 42, 0, 524288
94376448, 2944, 71909406, 0, 32, 81788928, 3742, 655360, 3224, 0, 507904, 0
3097, 0, 442368, 0, 101138464, 3584, 720896, 77594652, 65011746, 80154781, 589824, 0
0, 442368, 475136, 0, 75497503, 524315, 69632000, 0, 69206016, 4608, 0, 4096
0, 0, 0, 54525952, 0, 4224, 0, 478244, 24, 606242, 627584, 0
33, 0, 0, 86425624, 0, 29, 58720256, 35, 3584, 0, 4480, 35
54984704, 38, 0, 62914560, 57098266, 0, 54525952, 445440, 73405056, 92274723, 0, 594724
26, 4096, 57032704, 3200, 507904, 40, 60822425, 431744, 0, 31, 3584, 34
0, 3234, 0, 3456, 491520, 458752, 0, 36, 495232, 593920, 40, 5120
0, 445440, 61410459, 0, 475136, 4480, 58720286, 0, 3584, 3072, 75502752, 81792556
529152, 54525952, 0, 0, 458752, 0, 29, 4992, 3072, 0, 54525952, 67554472
32, 58724224, 53154332, 0, 4251, 78004224, 69996316, 52428839, 83886080, 59166720, 0, 3328
425984, 8604, 52892288, 55119744, 96932256, 491549, 65016865, 409600, 0, 75497521, 94866848, 74061864
458752, 62917504, 0, 3328, 0, 73400353, 0, 442368, 0, 96469021, 0, 524288
0, 65014935, 475136, 0, 52428800, 0, 56627200, 3363, 85986688, 0, 3584, 30
0, 0, 65015070, 50806784, 458779, 81788928, 54968320, 540672, 0, 0, 0, 0
409600, 0, 0, 0, 84443136, 0, 67112320, 3072, 4516, 0, 0, 90182047
24, 0, 3354, 65016192, 67747840, 3840, 442368, 35, 0, 573440, 32, 63602688
52428800, 0, 67112064, 28, 0, 0, 0, 45, 0, 5376, 442368, 73400348
33, 0, 50744359, 0, 0, 33, 3712, 511521, 84295680, 446336, 67112064, 55066624
54525983, 3072, 54525952, 3200, 56623131, 56627619, 0, 0, 4258, 54529536, 0, 71303168
60817408, 442368, 83891104, 25, 52432410, 524314, 0, 0, 54525952, 3496, 0, 524288
0, 557085, 67633152, 57262106, 69620992, 5504, 27, 54529280, 0, 4224, 55, 34
562048, 0, 0, 0, 5280, 61259804, 0, 573440, 102760448, 511136, 0, 69210010
67665951, 0, 409600, 0, 78269730, 81788956, 458777, 4096, 0, 67113762, 50335283, 90787491
3097, 0, 491520, 0, 99008539, 3200, 704537, 81788928, 67108897, 78024734, 589824, 0
655360, 4224, 3104, 4122, 507929, 56626560, 3584, 67114784, 69206052, 73400320, 71942144, 577664
27, 0, 65470464, 50331648, 84426781, 3743, 0, 4096, 445952, 0, 0, 77594661
0, 0, 0, 3072, 0, 59572224, 0, 3225, 65011712, 540672, 50335400, 3200
0, 478336, 25, 38, 100668800, 67108864, 58720256, 58723840, 578075, 3456, 3741, 0
54525952, 0, 425984, 0, 63455232, 0, 0, 3328, 790272, 50827168, 458752, 0
0, 50741280, 90181544, 0, 0, 54955264, 0, 0, 26, 0, 0, 0
54939008, 0, 28, 0, 65015296, 622592, 81788928, 0, 0, 57032745, 0, 0
